kode_kab	Kabupaten	Kode_Provi	Provinsi	WKT
1101	Simeulue	11	Aceh	POLYGON ((95.8051433282021208 2.9298319841587954, 95.9033610830476277 2.8963678654846490, 95.9260176430997831 2.8306231503381696, 96.0267411645731386 2.7574770246450271, 96.1182340436662344 2.7377412818347580, 96.1000021273962943 2.6792431220724779, 96.1849268070265566 2.6530819660599150, 96.2529320931416237 2.5856698080152682, 96.3240501477961288 2.5588572226827182, 96.3666196647657785 2.4965762050279068, 96.4673277916443226 2.4603840657720752, 96.4987016268786419 2.3632260477439786, 96.4362660139654508 2.3277448684309547, 96.3181380658191415 2.3536778538499448, 96.3093718540279156 2.4222445408529438, 96.2288878755750829 2.4415085370893621, 96.1191032896851425 2.5394939403930721, 96.0429667437202852 2.5807548826317657, 95.8847780058003991 2.6040125792172262, 95.7938298442719542 2.6553830766677038, 95.6921360208607439 2.7726176122130823, 95.7612718636056570 2.8241609314818561, 95.7677396312790279 2.8975246922108226, 95.8051433282021208 2.9298319841587954))
1102	Aceh Singkil	11	Aceh	MULTIPOLYGON (((97.1685569998057304 2.2356940004777925, 97.2364740003748693 2.2349380006882029, 97.3306689995747547 2.1716850002625847, 97.2614399996563179 2.1348410000122158, 97.1748139996664122 2.1780360008608000, 97.1685569998057304 2.2356940004777925)), ((98.0792298237973910 2.5830981237794504, 98.0944052466048788 2.4851030257840421, 98.1473981093353132 2.4236529745052167, 98.1970707371248750 2.3116980870971133, 98.1316545820933470 2.1650672796312733, 97.9489389442769038 2.2698915297703479, 97.8608787027899893 2.2488020212962851, 97.7497558456557840 2.2797289546276147, 97.6652467526355963 2.3947961393304240, 97.7321503296740275 2.4226550435954550, 97.7917409345965325 2.5073463527520516, 97.8428780058153507 2.5569707022361854, 97.9540123391981297 2.5768816734505435, 98.0347797210073963 2.5597547892521675, 98.0792298237973910 2.5830981237794504)))
1103	Aceh Selatan	11	Aceh	POLYGON ((97.2061579315433733 3.6939000063802609, 97.2845846316754432 3.6396052697674577, 97.4550450676757691 3.6304994379987079, 97.4520888342323701 3.5399835284171672, 97.3983056131136209 3.4551480534399843, 97.4730157650655542 3.3325035121274027, 97.4760469183306668 3.2202178145005860, 97.5963274666393090 3.1149553382183512, 97.6419274668791672 3.0329553384181622, 97.6424683209563113 2.9525760230650349, 97.7431057728132373 2.9278282271909575, 97.8150009118626258 2.9822118851703863, 97.8996299807390642 2.9657669946511191, 97.9074577149016818 2.9207300410586186, 97.8492298472796733 2.8343240080465648, 97.7664203775984220 2.7871643702395659, 97.8251061278455722 2.6358029885171277, 97.7917409345965325 2.5073463527520516, 97.7321503296740275 2.4226550435954550, 97.6652467526355963 2.3947961393304240, 97.6500614121045487 2.6620901314544767, 97.6112204870358937 2.8413369285564727, 97.4251278985337308 2.9342934237025702, 97.3189944738159625 3.0548135253239934, 97.2446193768827811 3.2360049750495818, 97.1768696735966273 3.2516168325508374, 96.9997447567151880 3.5452694070575603, 96.9419588303358069 3.5746383467823080, 96.9702144867092670 3.6229665105960294, 97.0304690323200703 3.6037820171264343, 97.1352047990623078 3.6959567307185921, 97.1535814288399138 3.7455863484312886, 97.2061579315433733 3.6939000063802609))
1104	Aceh Tenggara	11	Aceh	POLYGON ((97.8246092829920713 3.7495260354982065, 97.8682585637817510 3.5710319934318022, 97.9044110618211221 3.5569400396511810, 97.9497664878331875 3.4728170336792346, 97.9099026549836253 3.3895601611725397, 98.0019490146353860 3.3697560321152196, 98.0288945521419350 3.3310145873533656, 97.9520651783653307 3.2837829336355071, 97.9435369937373252 3.2012691754321736, 97.9828360001813508 3.0867547131595074, 97.9384019080217172 3.0748629795428997, 97.9351388285941198 2.9895190071964635, 97.9015974851358806 3.0078458873778686, 97.8150009118626258 2.9822118851703863, 97.7431057728132373 2.9278282271909575, 97.6424683209563113 2.9525760230650349, 97.6419274668791672 3.0329553384181622, 97.5963274666393090 3.1149553382183512, 97.4760469183306668 3.2202178145005860, 97.4730157650655542 3.3325035121274027, 97.3983056131136209 3.4551480534399843, 97.4520888342323701 3.5399835284171672, 97.4550450676757691 3.6304994379987079, 97.2845846316754432 3.6396052697674577, 97.2061579315433733 3.6939000063802609, 97.3048025576919713 3.6768294035541658, 97.8246092829920713 3.7495260354982065))
1105	Aceh Timur	11	Aceh	POLYGON ((97.9755962886378597 4.5577487781836226, 97.8975608511524342 4.5063106849901828, 97.8774061546703820 4.4581845044114061, 98.0241624616283502 4.4157787872612744, 97.9225684881452594 4.3510925031165471, 97.7833574203087323 4.3504641908697863, 97.7178581166588174 4.2471827465865317, 97.5733670661372798 4.1860232185966879, 97.4656524992635127 4.1590903408466033, 97.3568371640039913 4.2091388222988826, 97.3688487889405110 4.4016683308288407, 97.3130263838605742 4.6028452570030822, 97.2940474358405254 4.6598310223837984, 97.3190652162867877 4.7409773803018993, 97.3999307941708707 4.7667765582915536, 97.5004786043041918 4.8704336188164916, 97.4676965962210033 4.9311509645454521, 97.5063155991855979 4.9938592348158863, 97.5099098656478418 5.0653822433958453, 97.4598877855929118 5.1125315947573426, 97.5006034302041940 5.1912807683928008, 97.4838084300150740 5.2411735241389010, 97.5537234067099348 5.2130098558202462, 97.5924107635459563 5.1475295827241325, 97.6427864228551812 5.1266095586842084, 97.6640361851219154 5.0603673592662517, 97.8421201435298826 4.9076403030575761, 97.9062818917959135 4.8780574748726053, 97.9578245446670621 4.7446591490005972, 97.9636694221061930 4.6654457228418664, 98.0162722443686221 4.6139162828102371, 97.9755962886378597 4.5577487781836226))
1106	Aceh Tengah	11	Aceh	POLYGON ((96.6574672430189139 4.9553868285393605, 96.6827482748130933 4.9228661706372918, 96.7090169600647300 4.7525089291438007, 96.8402358212262016 4.6659788292595863, 96.9495452772927706 4.6526078592653448, 97.1093504665508362 4.5846224976302210, 97.1943416258653770 4.5753278504999457, 97.3130263838605742 4.6028452570030822, 97.3688487889405110 4.4016683308288407, 97.3568371640039913 4.2091388222988826, 97.2516287765468519 4.1700089198757837, 97.1615093852499854 4.2808412798012796, 97.0670766556631861 4.2198545034826225, 96.9504924567615376 4.1865672256969333, 96.8205586872336994 4.2853827212356350, 96.7780711965285718 4.3269583902175555, 96.6475275112856593 4.3773682417510145, 96.5839119833514133 4.4197922502122537, 96.6044410729971901 4.4772978812922588, 96.5815489013607475 4.5730163428299875, 96.4910865257226646 4.6227694194731725, 96.4477387066760343 4.6253016981149244, 96.3693541316878850 4.6916550087717042, 96.2824181848513945 4.6923342190490303, 96.2807336008750667 4.7790326036717943, 96.3504879289748146 4.7756802098738262, 96.3759990792941608 4.8422217962989293, 96.4495877667620789 4.9251360603809076, 96.4966339622876035 4.8900675394854147, 96.5361331218461487 4.9350748802016255, 96.6574672430189139 4.9553868285393605))
1107	Aceh Barat	11	Aceh	POLYGON ((96.4910865257226646 4.6227694194731725, 96.4932881497284143 4.5610994102096356, 96.4404356423910372 4.5100429542189886, 96.4795907240327324 4.4609543003007843, 96.2968868565432672 4.3505374550395572, 96.2682087814101806 4.2173123943515520, 96.2788498908098518 4.1551205031087761, 96.1920291947915871 4.1072779902870593, 96.0274076989062451 4.1949930512883498, 95.8768796928436018 4.3674957703136101, 95.9562047536465457 4.5058828631036931, 96.0505819186207077 4.5926276185697930, 96.0424483106410776 4.6575705431461074, 96.1169129036076697 4.7396650733844581, 96.2807336008750667 4.7790326036717943, 96.2824181848513945 4.6923342190490303, 96.3693541316878850 4.6916550087717042, 96.4477387066760343 4.6253016981149244, 96.4910865257226646 4.6227694194731725))
1108	Aceh Besar	11	Aceh	POLYGON ((95.7457127522417863 5.5689293960747932, 95.7328621200908287 5.4879240608467512, 95.7807460799676846 5.4613679405780431, 95.7483180000756988 5.3180340306460607, 95.7914630282961639 5.2738029802234223, 95.7929389200951391 5.2122646802708346, 95.8411130399348963 5.1350080502813285, 95.8228286401296714 5.0875822805978146, 95.7432254891650700 5.0611769424619979, 95.6468269737858918 5.0681979586689181, 95.6437239476021546 5.1390876448789413, 95.5818681941618706 5.2092299602944649, 95.3221103445168296 5.2250099595420352, 95.3068053473889449 5.1673268130820134, 95.2540822803729839 5.2212640502957584, 95.2392546002196809 5.2823117700721696, 95.2435861201034299 5.4594981906889757, 95.1938362801203084 5.5273170608337523, 95.2802620190769858 5.5518918990919133, 95.3605799997672534 5.5447571708068608, 95.3669617230051472 5.6082835237656354, 95.4319915256884315 5.6567502497242685, 95.4991334428541450 5.6024803460911698, 95.6101383026406211 5.6277032843790948, 95.7457127522417863 5.5689293960747932))
1109	Pidie	11	Aceh	POLYGON ((96.1050608939451649 5.2871096657784733, 96.0403230004062038 5.2406660007354162, 96.0600560002842485 5.1070320003266261, 96.1836980003624831 5.0682140007755834, 96.2114480003249923 4.9587500007120298, 96.2791190003416659 4.9094230003711914, 96.3416920422540102 4.9440872328395926, 96.4495877667620789 4.9251360603809076, 96.3759990792941608 4.8422217962989293, 96.3504879289748146 4.7756802098738262, 96.2807336008750667 4.7790326036717943, 96.1169129036076697 4.7396650733844581, 96.0424483106410776 4.6575705431461074, 95.9911574805333316 4.7865959677297951, 95.8995742870237677 4.8690646716972878, 95.8790586296520928 4.9149396288608500, 95.7432254891650700 5.0611769424619979, 95.8228286401296714 5.0875822805978146, 95.8411130399348963 5.1350080502813285, 95.7929389200951391 5.2122646802708346, 95.7914630282961639 5.2738029802234223, 95.7483180000756988 5.3180340306460607, 95.7807460799676846 5.4613679405780431, 95.7328621200908287 5.4879240608467512, 95.7457127522417863 5.5689293960747932, 95.8885293523478026 5.5020802046377639, 95.9296094867884221 5.4138114580323986, 96.1050608939451649 5.2871096657784733))
1110	Bireuen	11	Aceh	POLYGON ((96.9077904489701041 5.2503374745948008, 96.9204666809926039 5.2074064760280976, 96.8594546202346010 5.0950991964708123, 96.8217970797714997 5.0697351842314333, 96.7859819093376927 4.9420608282446779, 96.7446804391510113 4.9666583204252106, 96.6574672430189139 4.9553868285393605, 96.5361331218461487 4.9350748802016255, 96.4966339622876035 4.8900675394854147, 96.4495877667620789 4.9251360603809076, 96.3416920422540102 4.9440872328395926, 96.3663612508710798 5.0455945701333462, 96.3350524582044159 5.1508715812585137, 96.3420057725484185 5.2270984110628547, 96.4595094077330373 5.2350049941852035, 96.5091949452905737 5.1998957474908138, 96.6323170823675355 5.2122831487483836, 96.8484132513705163 5.2769734510639523, 96.9077904489701041 5.2503374745948008))
